zip_code,trade_name,search_query,rank,matched_name,price,size,unit_price,unit_price_basis,url,status,date,timestamp
43537,CELERY NAKED RPC,celery,1,Fresh from Meijer Pascal Celery,$2.49,,,,,ok-dom,2026-05-08,2026-05-08T17:08:54Z
43537,CELERY NAKED RPC,celery,2,Fresh from Meijer Pascal Celery,,,,,,ok-dom,2026-05-08,2026-05-08T17:08:54Z
43537,CELERY NAKED RPC,celery,3,Original price,$2.49,,,,,ok-dom,2026-05-08,2026-05-08T17:08:54Z
43537,POTATOES IDAHO BAKER,idaho baker potato,1,Russet Potatoes Tray Pack 4 CT,$3.99,4 CT,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:09:43Z
43537,POTATOES IDAHO BAKER,idaho baker potato,2,Russet Potatoes Tray Pack 4 CT,,4 CT,,,,ok-dom,2026-05-08,2026-05-08T17:09:43Z
43537,POTATOES IDAHO BAKER,idaho baker potato,3,Original price,$3.99,,,,,ok-dom,2026-05-08,2026-05-08T17:09:43Z
43537,ASPARAGUS STANDARD 11LB,asparagus,1,Green Asparagus,$4.99,1.25 lb,$3.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:10:32Z
43537,ASPARAGUS STANDARD 11LB,asparagus,2,Green Asparagus,,,,,,ok-dom,2026-05-08,2026-05-08T17:10:32Z
43537,ASPARAGUS STANDARD 11LB,asparagus,3,Original price,$4.99,,,,,ok-dom,2026-05-08,2026-05-08T17:10:32Z
43537,ONIONS RED JUMBO CTN 40#,red onion,1,Red Onion,$1.86,1.86 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:11:21Z
43537,ONIONS RED JUMBO CTN 40#,red onion,2,Red Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:11:21Z
43537,ONIONS RED JUMBO CTN 40#,red onion,3,Original price,$1.86,1.86 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:11:21Z
43537,TOMATOES ROMA LUG,roma tomato,1,Roma Tomato Extra Large,$0.60,0.60 each,$2.39,/lb,,ok-dom,2026-05-08,2026-05-08T17:12:10Z
43537,TOMATOES ROMA LUG,roma tomato,2,Roma Tomato Extra Large,,,,,,ok-dom,2026-05-08,2026-05-08T17:12:10Z
43537,TOMATOES ROMA LUG,roma tomato,3,Original price,$0.60,0.60 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:12:10Z
43537,ONIONS YELLOW JUMBO 1015,sweet onion,1,Sweet Onion,$1.49,1.49 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:12:59Z
43537,ONIONS YELLOW JUMBO 1015,sweet onion,2,Sweet Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:12:59Z
43537,ONIONS YELLOW JUMBO 1015,sweet onion,3,Original price,$1.49,1.49 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:12:59Z
43537,PEPPERS JALAPENO,jalapeno pepper,1,Jalapeno Pepper,$0.30,0.30 each,$1.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:13:48Z
43537,PEPPERS JALAPENO,jalapeno pepper,2,Jalapeno Pepper,,,,,,ok-dom,2026-05-08,2026-05-08T17:13:48Z
43537,PEPPERS JALAPENO,jalapeno pepper,3,Original price,$0.30,0.30 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:13:48Z
43537,CILANTRO VALUE,cilantro,1,"Cilantro, bunch",$0.89,,,,,ok-dom,2026-05-08,2026-05-08T17:14:37Z
43537,CILANTRO VALUE,cilantro,2,"Cilantro, bunch",,,,,,ok-dom,2026-05-08,2026-05-08T17:14:37Z
43537,CILANTRO VALUE,cilantro,3,Original price,$0.89,,,,,ok-dom,2026-05-08,2026-05-08T17:14:37Z
43537,APPLES FUJI POLY,fuji apples,1,"Fuji Apples, 3 lb",$3.29,3 lb,$1.10,/lb,,ok-dom,2026-05-08,2026-05-08T17:15:25Z
43537,APPLES FUJI POLY,fuji apples,2,"Fuji Apples, 3 lb",,3 lb,,,,ok-dom,2026-05-08,2026-05-08T17:15:25Z
43537,APPLES FUJI POLY,fuji apples,3,Original price,$3.29,,,,,ok-dom,2026-05-08,2026-05-08T17:15:25Z
43537,APL COSMIC CRSP BAG,cosmic crisp apples,1,Cosmic Crisp Apple,$1.49,1.49 each,$1.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:16:14Z
43537,APL COSMIC CRSP BAG,cosmic crisp apples,2,Cosmic Crisp Apple,,,,,,ok-dom,2026-05-08,2026-05-08T17:16:14Z
43537,APL COSMIC CRSP BAG,cosmic crisp apples,3,Original price,$1.49,1.49 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:16:14Z
43537,CLASSIC GARDEN SALAD,garden salad,1,"Dole Salad Garden, 12 oz",$2.29,12 oz,$3.05,/lb,,ok-dom,2026-05-08,2026-05-08T17:17:03Z
43537,CLASSIC GARDEN SALAD,garden salad,2,"Dole Salad Garden, 12 oz",,12 oz,,,,ok-dom,2026-05-08,2026-05-08T17:17:03Z
43537,CLASSIC GARDEN SALAD,garden salad,3,Original price,$2.29,,,,,ok-dom,2026-05-08,2026-05-08T17:17:03Z
43537,SHRD ICEBERG LETTUCE,shredded iceberg lettuce,1,"Dole Salad Shredded Lettuce, 8 oz",$2.29,8 oz,$4.58,/lb,,ok-dom,2026-05-08,2026-05-08T17:17:52Z
43537,SHRD ICEBERG LETTUCE,shredded iceberg lettuce,2,"Dole Salad Shredded Lettuce, 8 oz",,8 oz,,,,ok-dom,2026-05-08,2026-05-08T17:17:52Z
43537,SHRD ICEBERG LETTUCE,shredded iceberg lettuce,3,Original price,$2.29,,,,,ok-dom,2026-05-08,2026-05-08T17:17:52Z
43537,CUTPEELED BBY CARROT,baby carrots,1,"Fresh from Meijer Baby-Cut Carrots, 1 lb.",$1.39,1 lb,$1.39,/lb,,ok-dom,2026-05-08,2026-05-08T17:18:41Z
43537,CUTPEELED BBY CARROT,baby carrots,2,"Fresh from Meijer Baby-Cut Carrots, 1 lb.",,1 lb,,,,ok-dom,2026-05-08,2026-05-08T17:18:41Z
43537,CUTPEELED BBY CARROT,baby carrots,3,Original price,$1.39,,,,,ok-dom,2026-05-08,2026-05-08T17:18:41Z
43537,ONIONS WHITE JUMBO BULK,white onion,1,White Onion,$1.49,1.49 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:19:30Z
43537,ONIONS WHITE JUMBO BULK,white onion,2,White Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:19:30Z
